Private Entity,External URI,Confidence
22 April 2022,http://www.wikidata.org/entity/Q69306407,0.74
22 weeks,http://www.wikidata.org/entity/Q18795210,1.0
23,http://www.wikidata.org/entity/Q48240,1.0
24,http://www.wikidata.org/entity/Q79988,1.0
244437,http://www.wikidata.org/entity/Q96927984,0.36
24 February 2020,http://www.wikidata.org/entity/Q57396644,0.79
24 October 2023,http://www.wikidata.org/entity/Q69306962,0.77
25,http://www.wikidata.org/entity/Q79986,1.0
2500,http://www.wikidata.org/entity/Q1489957,1.0
25th,http://www.wikidata.org/entity/Q2819,0.31
26,http://www.wikidata.org/entity/Q83264,1.0
26 January 2020,http://www.wikidata.org/entity/Q57396608,0.77
26 March,http://www.wikidata.org/entity/Q2456,0.62
27,http://www.wikidata.org/entity/Q433353,1.0
28 January 2020,http://www.wikidata.org/entity/Q57396611,0.77
28 March 2023,http://www.wikidata.org/entity/Q69306751,0.74
28th,http://www.wikidata.org/entity/Q2883,0.25
29 April 2012,http://www.wikidata.org/entity/Q17982638,0.74
2 March 2001,http://www.wikidata.org/entity/Q69303735,0.8
300,http://www.wikidata.org/entity/Q1384187,1.0
30th,http://www.wikidata.org/entity/Q3015,0.27
31 minutes,http://www.wikidata.org/entity/Q3598848,0.65
32,http://www.wikidata.org/entity/Q712701,1.0
323rd,http://www.wikidata.org/entity/Q225348,0.25
33,http://www.wikidata.org/entity/Q712661,1.0
35,http://www.wikidata.org/entity/Q434712,1.0
35 mm,http://www.wikidata.org/entity/Q226528,0.67
361,http://www.wikidata.org/entity/Q1188342,1.0
37,http://www.wikidata.org/entity/Q712770,1.0
3 February 2020,http://www.wikidata.org/entity/Q57396617,0.84
3rd,http://www.wikidata.org/entity/Q51929074,0.27
4,http://www.wikidata.org/entity/Q202,1.0
40 minutes,http://www.wikidata.org/entity/Q4637407,1.0
42,http://www.wikidata.org/entity/Q812996,1.0
43,http://www.wikidata.org/entity/Q282113,1.0
43rd,http://www.wikidata.org/entity/Q24190721,0.06
45th,http://www.wikidata.org/entity/Q21084462,0.2
46,http://www.wikidata.org/entity/Q712744,1.0
5,http://www.wikidata.org/entity/Q203,1.0
5.1,http://www.wikidata.org/entity/Q60724383,1.0
500,http://www.wikidata.org/entity/Q207742,1.0
56th,http://www.wikidata.org/entity/Q21084473,0.2
5th,http://www.wikidata.org/entity/Q779,0.14
6,http://www.wikidata.org/entity/Q23488,1.0
61615,http://www.wikidata.org/entity/Q135572411,1.0
620,http://www.wikidata.org/entity/Q842138,1.0
64,http://www.wikidata.org/entity/Q435660,1.0
65,http://www.wikidata.org/entity/Q645260,1.0
67,http://www.wikidata.org/entity/Q713157,1.0
6th,http://www.wikidata.org/entity/Q771,0.12
7,http://www.wikidata.org/entity/Q23350,1.0
7.4,http://www.wikidata.org/entity/Q93309567,1.0
70 mm,http://www.wikidata.org/entity/Q261242,0.67
77th,http://www.wikidata.org/entity/Q28469787,0.21
80,http://www.wikidata.org/entity/Q712467,1.0
82nd,http://www.wikidata.org/entity/Q189836,0.35
83,http://www.wikidata.org/entity/Q713181,1.0
84,http://www.wikidata.org/entity/Q279264,1.0
850,http://www.wikidata.org/entity/Q1492396,1.0
8599,http://www.wikidata.org/entity/Q19262738,1.0
87th,http://www.wikidata.org/entity/Q16773560,0.35
9,http://www.wikidata.org/entity/Q19108,1.0
92-minute,http://www.wikidata.org/entity/Q7713813,0.16
92nd,http://www.wikidata.org/entity/Q4645850,0.26
978,http://www.wikidata.org/entity/Q525336,1.0
A.O. Scott,http://www.wikidata.org/entity/Q38351,0.95
A. O. Scott,http://www.wikidata.org/entity/Q38351,1.0
AFI,http://www.wikidata.org/entity/Q292061,1.0
AP,http://www.wikidata.org/entity/Q40130,0.57
A Clockwork Orange,http://www.wikidata.org/entity/Q181086,1.0
A week later,http://www.wikidata.org/entity/Q44169728,0.25
A year later,http://www.wikidata.org/entity/Q64004299,0.27
Aaron,http://www.wikidata.org/entity/Q905085,1.0
Aaron Edwards,http://www.wikidata.org/entity/Q4661989,1.0
Aaron Pierre,http://www.wikidata.org/entity/Q106828532,1.0
Abdullahi,http://www.wikidata.org/entity/Q4666118,1.0
Abe Vigoda,http://www.wikidata.org/entity/Q318220,1.0
Abhishek,http://www.wikidata.org/entity/Q16001407,1.0
Abner Biberman,http://www.wikidata.org/entity/Q129386,1.0
Abraham Lincoln,http://www.wikidata.org/entity/Q91,1.0
Abramovitch,http://www.wikidata.org/entity/Q61021288,1.0
Acacius,http://www.wikidata.org/entity/Q21558953,1.0
Academy,http://www.wikidata.org/entity/Q4671329,0.67
Academy Award,http://www.wikidata.org/entity/Q19020,0.96
Academy Awards,http://www.wikidata.org/entity/Q19020,1.0
Accolades,http://www.wikidata.org/entity/Q110967725,0.69
Ada Nicodemou,http://www.wikidata.org/entity/Q2616690,1.0
Adam,http://www.wikidata.org/entity/Q347181,1.0
Adam B.,http://www.wikidata.org/entity/Q91249375,0.56
Adam McKay,http://www.wikidata.org/entity/Q350405,1.0
Adam Pally,http://www.wikidata.org/entity/Q350589,1.0
Adam Rosenberg,http://www.wikidata.org/entity/Q58319209,0.9
Adam Rosette,http://www.wikidata.org/entity/Q134930966,1.0
Adam Sternbergh,http://www.wikidata.org/entity/Q56490722,1.0
Adams,http://www.wikidata.org/entity/Q351735,1.0
Adele,http://www.wikidata.org/entity/Q354370,1.0
Adi,http://www.wikidata.org/entity/Q4682579,1.0
Adolphe Menjou,http://www.wikidata.org/entity/Q358379,1.0
Adrien Brody,http://www.wikidata.org/entity/Q104514,1.0
Aethiope,http://www.wikidata.org/entity/Q18521034,0.84
Affleck,http://www.wikidata.org/entity/Q382833,1.0
African-American,http://www.wikidata.org/entity/Q49085,0.91
Agents,http://www.wikidata.org/entity/Q23928727,0.5
Akin,http://www.wikidata.org/entity/Q16160605,1.0
Akio,http://www.wikidata.org/entity/Q2829058,1.0
Akira,http://www.wikidata.org/entity/Q29563874,1.0
Akiyama,http://www.wikidata.org/entity/Q21507918,1.0
Al,http://www.wikidata.org/entity/Q222,0.44
Al Lettieri,http://www.wikidata.org/entity/Q558492,1.0
Al Martino,http://www.wikidata.org/entity/Q380872,1.0
Al Neri,http://www.wikidata.org/entity/Q558508,1.0
Al Pacino,http://www.wikidata.org/entity/Q41163,1.0
Al Ruddy,http://www.wikidata.org/entity/Q280490,0.7
Alain Delon,http://www.wikidata.org/entity/Q106529,1.0
Alain Sarde,http://www.wikidata.org/entity/Q712827,1.0
Alastair,http://www.wikidata.org/entity/Q16032077,1.0
Albany,http://www.wikidata.org/entity/Q24861,1.0
Alberdi,http://www.wikidata.org/entity/Q20977868,1.0
Albert S. Ruddy,http://www.wikidata.org/entity/Q280490,1.0
Alberta,http://www.wikidata.org/entity/Q1951,1.0
Aldo Trapani,http://www.wikidata.org/entity/Q3609352,1.0
Alec Guinness,http://www.wikidata.org/entity/Q103894,1.0
Alec Utgoff,http://www.wikidata.org/entity/Q20054118,1.0
Alef,http://www.wikidata.org/entity/Q1895587,1.0
Aleksandar,http://www.wikidata.org/entity/Q17501693,1.0
Alex,http://www.wikidata.org/entity/Q13258171,1.0
Alex Ben,http://www.wikidata.org/entity/Q104249066,0.76
Alex Hernandez,http://www.wikidata.org/entity/Q11705517,0.86
Alex McDowell,http://www.wikidata.org/entity/Q201621,1.0
Alex Rocco,http://www.wikidata.org/entity/Q975161,1.0
Alex Sol,http://www.wikidata.org/entity/Q105457387,0.84
Alex Winter,http://www.wikidata.org/entity/Q1398367,1.0
Alexander,http://www.wikidata.org/entity/Q923,1.0
Alexander Karim,http://www.wikidata.org/entity/Q5900246,1.0
Alexandra Shipp,http://www.wikidata.org/entity/Q14914898,1.0
Alfie Tempest,http://www.wikidata.org/entity/Q137399658,1.0
Alfonso,http://www.wikidata.org/entity/Q18180808,1.0
Ali MacGraw,http://www.wikidata.org/entity/Q229983,1.0
Alice,http://www.wikidata.org/entity/Q650689,1.0
Alien 3,http://www.wikidata.org/entity/Q108543,1.0
Alireza,http://www.wikidata.org/entity/Q12808432,0.93
Alison,http://www.wikidata.org/entity/Q16154105,1.0
AllMusic,http://www.wikidata.org/entity/Q31181,1.0
Allen,http://www.wikidata.org/entity/Q2648323,1.0
Alloway,http://www.wikidata.org/entity/Q3396445,1.0
Alyssa,http://www.wikidata.org/entity/Q450441,1.0
Amanda,http://www.wikidata.org/entity/Q453722,1.0
Amazon,http://www.wikidata.org/entity/Q3884,1.0
Amazon Prime Video,http://www.wikidata.org/entity/Q4740856,1.0
Ambrosino,http://www.wikidata.org/entity/Q37520879,1.0
Amelia,http://www.wikidata.org/entity/Q461718,1.0
Amelia Brand,http://www.wikidata.org/entity/Q113127006,1.0
American,http://www.wikidata.org/entity/Q7976,0.67
American Graffiti,http://www.wikidata.org/entity/Q375855,1.0
American History X,http://www.wikidata.org/entity/Q208572,1.0
American Prospect,http://www.wikidata.org/entity/Q3519769,0.89
American Zoetrope,http://www.wikidata.org/entity/Q467348,1.0
Amerigo Bonasera,http://www.wikidata.org/entity/Q1157232,1.0
Amon,http://www.wikidata.org/entity/Q20519054,1.0
Amy,http://www.wikidata.org/entity/Q481809,1.0
Amy Taubin,http://www.wikidata.org/entity/Q4749412,1.0
Anakin Skywalker,http://www.wikidata.org/entity/Q51752,1.0
Anderson,http://www.wikidata.org/entity/Q1848748,1.0
Ando,http://www.wikidata.org/entity/Q200798,0.19
Andre Iguodala,http://www.wikidata.org/entity/Q136816,1.0
Andrea Long,http://www.wikidata.org/entity/Q102734598,0.88
Andrew,http://www.wikidata.org/entity/Q18042461,1.0
Andrew Kevin Walker,http://www.wikidata.org/entity/Q505689,1.0
Andrew Santino,http://www.wikidata.org/entity/Q30117039,1.0
Andrew Sarris,http://www.wikidata.org/entity/Q507162,1.0
Andrew Tate,http://www.wikidata.org/entity/Q18637166,1.0
Andrew Tiernan,http://www.wikidata.org/entity/Q2846752,1.0
Andrew Weiner,http://www.wikidata.org/entity/Q506100,0.9
Andrew Wilson,http://www.wikidata.org/entity/Q508760,1.0
Andrews,http://www.wikidata.org/entity/Q2652654,1.0
Andrzej Bogucki,http://www.wikidata.org/entity/Q106825975,1.0
Andy,http://www.wikidata.org/entity/Q13627273,1.0
Andy Serkis,http://www.wikidata.org/entity/Q206922,1.0
Ang Lee,http://www.wikidata.org/entity/Q160726,1.0
Angel Face,http://www.wikidata.org/entity/Q3616732,1.0
Angel Reese,http://www.wikidata.org/entity/Q111698612,1.0
Angela,http://www.wikidata.org/entity/Q4851436,1.0
Angelique,http://www.wikidata.org/entity/Q6299671,1.0
Angelo Infanti,http://www.wikidata.org/entity/Q376261,1.0
Angus Wall,http://www.wikidata.org/entity/Q544658,1.0
Animatrix,http://www.wikidata.org/entity/Q335340,0.82
Anime,http://www.wikidata.org/entity/Q1107,1.0
Aniston,http://www.wikidata.org/entity/Q21502004,1.0
Anita,http://www.wikidata.org/entity/Q925678,1.0
Ankers,http://www.wikidata.org/entity/Q4766032,1.0
Ann,http://www.wikidata.org/entity/Q558067,1.0
Ann Darrow,http://www.wikidata.org/entity/Q3617626,1.0
Ann Hornaday,http://www.wikidata.org/entity/Q51641814,1.0
Anna Hill Johnstone,http://www.wikidata.org/entity/Q560865,1.0
Anne-Kathrin,http://www.wikidata.org/entity/Q564776,1.0
Anne Dudley,http://www.wikidata.org/entity/Q273502,1.0
Anne Hathaway,http://www.wikidata.org/entity/Q36301,1.0
Anora,http://www.wikidata.org/entity/Q11189476,1.0
Ansen,http://www.wikidata.org/entity/Q95118601,1.0
Anthony,http://www.wikidata.org/entity/Q12241622,1.0
Anthony Bruno,http://www.wikidata.org/entity/Q127274798,1.0
Anthony Colombo,http://www.wikidata.org/entity/Q123576825,0.36
Anthony Corleone,http://www.wikidata.org/entity/Q597178,1.0
Anthony Daniels,http://www.wikidata.org/entity/Q441685,1.0
Anthony Fiato,http://www.wikidata.org/entity/Q4772505,1.0
Anthony Hopkins,http://www.wikidata.org/entity/Q65932,1.0
Anthony Quinn,http://www.wikidata.org/entity/Q83484,1.0
Anthony R.,http://www.wikidata.org/entity/Q4772089,0.73
Anthony Ray Parker,http://www.wikidata.org/entity/Q3324448,1.0
Antxon,http://www.wikidata.org/entity/Q85742125,1.0
Apoc,http://www.wikidata.org/entity/Q173756,0.53
Apollonia,http://www.wikidata.org/entity/Q619325,1.0
Apollonia Vitelli,http://www.wikidata.org/entity/Q773775,0.79
Apollonia Vitelli-Corleone,http://www.wikidata.org/entity/Q773775,1.0
Apple,http://www.wikidata.org/entity/Q312,0.67
April 1,http://www.wikidata.org/entity/Q2510,1.0
April 2021,http://www.wikidata.org/entity/Q61313052,1.0
April 2023,http://www.wikidata.org/entity/Q61313055,1.0
April 6,http://www.wikidata.org/entity/Q2506,1.0
April 7,http://www.wikidata.org/entity/Q2505,1.0
April 8,http://www.wikidata.org/entity/Q2503,1.0
Aram Avakian,http://www.wikidata.org/entity/Q625655,1.0
Archie,http://www.wikidata.org/entity/Q19826472,1.0
Archive,http://www.wikidata.org/entity/Q166118,0.93
Argentina,http://www.wikidata.org/entity/Q414,1.0
Ariadne,http://www.wikidata.org/entity/Q589790,1.0
Armando,http://www.wikidata.org/entity/Q18177180,1.0
Arnold,http://www.wikidata.org/entity/Q3623461,1.0
Arnold Kopelson,http://www.wikidata.org/entity/Q695608,1.0
Arnold Schwarzenegger,http://www.wikidata.org/entity/Q2685,1.0
Arnon Milchan,http://www.wikidata.org/entity/Q697131,1.0
Aron,http://www.wikidata.org/entity/Q18410868,1.0
Around-the-World,http://www.wikidata.org/entity/Q96323780,0.88
Art Linson,http://www.wikidata.org/entity/Q705631,1.0
Arthur,http://www.wikidata.org/entity/Q1778168,1.0
Arthur Max,http://www.wikidata.org/entity/Q710582,1.0
Arthur Penn,http://www.wikidata.org/entity/Q41136,1.0
Artists Equity,http://www.wikidata.org/entity/Q124767688,1.0
Arwa,http://www.wikidata.org/entity/Q4119168,1.0
Asada,http://www.wikidata.org/entity/Q16149177,1.0
Ascher,http://www.wikidata.org/entity/Q21504718,1.0
Ashley,http://www.wikidata.org/entity/Q2655374,1.0
Ashley Shannon,http://www.wikidata.org/entity/Q129988897,0.58
Asian,http://www.wikidata.org/entity/Q48,0.89
Atticus Ross,http://www.wikidata.org/entity/Q520346,1.0
August 1,http://www.wikidata.org/entity/Q2788,1.0
August 13,http://www.wikidata.org/entity/Q2776,1.0
August 14,http://www.wikidata.org/entity/Q2775,1.0
August 1971,http://www.wikidata.org/entity/Q4820531,1.0
August 1997,http://www.wikidata.org/entity/Q2858061,1.0
August 2009,http://www.wikidata.org/entity/Q243261,1.0
August 2013,http://www.wikidata.org/entity/Q3038909,1.0
August 2023,http://www.wikidata.org/entity/Q61313035,1.0
August 2025,http://www.wikidata.org/entity/Q61313037,1.0
August 6,http://www.wikidata.org/entity/Q2787,1.0
August 7,http://www.wikidata.org/entity/Q2781,1.0
August 8,http://www.wikidata.org/entity/Q2780,1.0
Ault,http://www.wikidata.org/entity/Q45764,1.0
Aurelius,http://www.wikidata.org/entity/Q32978882,1.0
Austin,http://www.wikidata.org/entity/Q16559,1.0
Austin Butler,http://www.wikidata.org/entity/Q469954,1.0
Australia,http://www.wikidata.org/entity/Q408,1.0
Australian Classification Board,http://www.wikidata.org/entity/Q874754,1.0
Auty,http://www.wikidata.org/entity/Q1083455,1.0
Avakian,http://www.wikidata.org/entity/Q21504751,1.0
Avery Brooks,http://www.wikidata.org/entity/Q366012,1.0
Ayaka Hirahara,http://www.wikidata.org/entity/Q1377827,1.0
Ayesha Curry,http://www.wikidata.org/entity/Q24207190,1.0
Aylish,http://www.wikidata.org/entity/Q85976140,0.12
Ayumi,http://www.wikidata.org/entity/Q2875045,1.0
Azulay,http://www.wikidata.org/entity/Q37550510,1.0
Azuma,http://www.wikidata.org/entity/Q107271159,1.0
BAC Films,http://www.wikidata.org/entity/Q2876680,1.0
BBFC,http://www.wikidata.org/entity/Q861670,0.2
Babenko,http://www.wikidata.org/entity/Q123194048,1.0
Bach,http://www.wikidata.org/entity/Q1339,0.32
Baczko,http://www.wikidata.org/entity/Q56235609,1.0
Baily,http://www.wikidata.org/entity/Q16479726,1.0
Baldwin,http://www.wikidata.org/entity/Q2658216,1.0
Ball,http://www.wikidata.org/entity/Q805107,1.0
Balokovic,http://www.wikidata.org/entity/Q20526188,0.44
Baltimore,http://www.wikidata.org/entity/Q5092,1.0
Baptiste,http://www.wikidata.org/entity/Q19927903,1.0
Barbara,http://www.wikidata.org/entity/Q153957,1.0
Barbenheimer,http://www.wikidata.org/entity/Q120188610,1.0
Barber,http://www.wikidata.org/entity/Q15785531,1.0
Barbie,http://www.wikidata.org/entity/Q167447,1.0
Barker,http://www.wikidata.org/entity/Q12785500,1.0
Barnard,http://www.wikidata.org/entity/Q11680149,1.0
Barnes,http://www.wikidata.org/entity/Q2658970,1.0
Barone,http://www.wikidata.org/entity/Q16479533,1.0
Barrett,http://www.wikidata.org/entity/Q27220872,1.0
Barry Jenkins,http://www.wikidata.org/entity/Q26821227,1.0
Barry Keoghan,http://www.wikidata.org/entity/Q28542230,1.0
Barry Norman,http://www.wikidata.org/entity/Q117842650,1.0
Barrymore,http://www.wikidata.org/entity/Q14639808,1.0
Bart,http://www.wikidata.org/entity/Q13435470,1.0
Bart Simpson,http://www.wikidata.org/entity/Q5480,1.0
Bartender,http://www.wikidata.org/entity/Q808266,1.0
Barton,http://www.wikidata.org/entity/Q790941,1.0
Barzini,http://www.wikidata.org/entity/Q21492717,1.0
Base,http://www.wikidata.org/entity/Q809830,0.5
Batman,http://www.wikidata.org/entity/Q80370,0.57
Baudrillard,http://www.wikidata.org/entity/Q65097752,1.0
Bean,http://www.wikidata.org/entity/Q16275014,1.0
Beardsley,http://www.wikidata.org/entity/Q16479670,1.0
Beast,http://www.wikidata.org/entity/Q4876846,1.0
Beatty,http://www.wikidata.org/entity/Q21487231,1.0
Beauty,http://www.wikidata.org/entity/Q10427558,1.0
Beauty and the Beast,http://www.wikidata.org/entity/Q61349854,1.0
Beck,http://www.wikidata.org/entity/Q2659856,1.0
Bedard,http://www.wikidata.org/entity/Q37557072,1.0
Bee Gees,http://www.wikidata.org/entity/Q133405,1.0
Beethoven,http://www.wikidata.org/entity/Q255,0.62
Behind The Scenes,http://www.wikidata.org/entity/Q1464369,0.77
Belgium,http://www.wikidata.org/entity/Q31,1.0
Belinda McClory,http://www.wikidata.org/entity/Q4882899,1.0
Bell,http://www.wikidata.org/entity/Q1444604,1.0
Ben,http://www.wikidata.org/entity/Q9610,0.44
Ben Affleck,http://www.wikidata.org/entity/Q483118,1.0
Ben Affleck and,http://www.wikidata.org/entity/Q123221303,0.73
Ben Fritz,http://www.wikidata.org/entity/Q24285033,1.0
Ben Kenobi,http://www.wikidata.org/entity/Q51740,0.75
Benjamin,http://www.wikidata.org/entity/Q817365,1.0
Benn,http://www.wikidata.org/entity/Q21492821,1.0
Bentz,http://www.wikidata.org/entity/Q37527639,1.0
Berardinelli,http://www.wikidata.org/entity/Q37514811,1.0
Berenger,http://www.wikidata.org/entity/Q37162668,1.0
Bergeson,http://www.wikidata.org/entity/Q37443473,1.0
Bernard,http://www.wikidata.org/entity/Q14649171,1.0
Beru,http://www.wikidata.org/entity/Q613386,1.0
Best Film Editing,http://www.wikidata.org/entity/Q281939,0.65
Best Picture,http://www.wikidata.org/entity/Q102427,0.57
Best Sound,http://www.wikidata.org/entity/Q3639016,1.0
Betty,http://www.wikidata.org/entity/Q2090092,1.0
Beverly Hills,http://www.wikidata.org/entity/Q127856,1.0
Big,http://www.wikidata.org/entity/Q84,0.0
Big Hero 6,http://www.wikidata.org/entity/Q13091172,1.0
Bilge,http://www.wikidata.org/entity/Q10740033,1.0
Bilge Ebiri,http://www.wikidata.org/entity/Q4907703,1.0
Bill,http://www.wikidata.org/entity/Q18245781,1.0
Bill Irwin,http://www.wikidata.org/entity/Q603317,1.0
Bill Mechanic,http://www.wikidata.org/entity/Q1517561,1.0
Billboard,http://www.wikidata.org/entity/Q485240,1.0
Billie Eilish,http://www.wikidata.org/entity/Q29564107,1.0
Billie Holiday,http://www.wikidata.org/entity/Q104358,1.0
Billington,http://www.wikidata.org/entity/Q20726713,1.0
Bing,http://www.wikidata.org/entity/Q182496,0.44
Bir-Hakeim bridge,http://www.wikidata.org/entity/Q123617636,0.83
Birds Of Prey,http://www.wikidata.org/entity/Q48428,0.96
Birley,http://www.wikidata.org/entity/Q16833425,1.0
Biskind,http://www.wikidata.org/entity/Q95609356,1.0
Bisset,http://www.wikidata.org/entity/Q100901544,1.0
Blaney,http://www.wikidata.org/entity/Q16860092,1.0
Blevins,http://www.wikidata.org/entity/Q21492028,1.0
Blistein,http://www.wikidata.org/entity/Q31642657,0.73
Block,http://www.wikidata.org/entity/Q884653,1.0
Bloody Disgusting,http://www.wikidata.org/entity/Q3641076,1.0
Bloody Sunday,http://www.wikidata.org/entity/Q185642,1.0
Bluhdorn,http://www.wikidata.org/entity/Q41416681,0.88
Bo-ram,http://www.wikidata.org/entity/Q25114518,1.0
Bob,http://www.wikidata.org/entity/Q18105736,1.0
Bob Evans,http://www.wikidata.org/entity/Q104834180,1.0
Bob Mack,http://www.wikidata.org/entity/Q3435802,0.89
Bob Sweeney,http://www.wikidata.org/entity/Q100930193,1.0
Bobby Lee,http://www.wikidata.org/entity/Q1064120,1.0
Bocce,http://www.wikidata.org/entity/Q895060,1.0
Bock,http://www.wikidata.org/entity/Q889117,1.0
Boehm,http://www.wikidata.org/entity/Q1158422,1.0
Boh,http://www.wikidata.org/entity/Q9056,0.25
Boland,http://www.wikidata.org/entity/Q36,0.83
Bolling,http://www.wikidata.org/entity/Q107394615,0.86
Bong,http://www.wikidata.org/entity/Q37096588,1.0
Bong Joon-Ho,http://www.wikidata.org/entity/Q495980,1.0
Bong Joon-ho,http://www.wikidata.org/entity/Q495980,1.0
Bong Joon Ho,http://www.wikidata.org/entity/Q495980,0.92
Bonham Carter,http://www.wikidata.org/entity/Q892439,1.0
Boone,http://www.wikidata.org/entity/Q16860233,1.0
Boots,http://www.wikidata.org/entity/Q37558366,1.0
Bordwell,http://www.wikidata.org/entity/Q37050428,1.0
Borgnine,http://www.wikidata.org/entity/Q89682513,1.0
Borkan,http://www.wikidata.org/entity/Q17067451,1.0
Bornstein,http://www.wikidata.org/entity/Q16860256,1.0
Borys,http://www.wikidata.org/entity/Q20682286,1.0
Borys Kit,http://www.wikidata.org/entity/Q24259209,1.0
Bose,http://www.wikidata.org/entity/Q21500582,1.0
Bostar,http://www.wikidata.org/entity/Q16179928,1.0
Boston,http://www.wikidata.org/entity/Q100,1.0
Bottin,http://www.wikidata.org/entity/Q37528311,1.0
Botz,http://www.wikidata.org/entity/Q23640266,1.0
Boucher,http://www.wikidata.org/entity/Q16860286,1.0
Boursaw,http://www.wikidata.org/entity/Q37197376,1.0
Bowen,http://www.wikidata.org/entity/Q2688708,1.0
Bowles,http://www.wikidata.org/entity/Q420601,1.0
Box Office,http://www.wikidata.org/entity/Q223142,0.8
Boyar,http://www.wikidata.org/entity/Q37528164,1.0
Boyd,http://www.wikidata.org/entity/Q16275068,1.0
Bozzola,http://www.wikidata.org/entity/Q101035841,1.0
Bracha L.,http://www.wikidata.org/entity/Q516614,0.67
Bracha L. Ettinger,http://www.wikidata.org/entity/Q516614,1.0
Bracha Lichtenberg,http://www.wikidata.org/entity/Q516614,0.67
